osm_type,osm_id,osm_name,osm_name_normalised,osm_lat,osm_lon,osm_voltage,osm_substation,osm_operator,osm_ref,osm_location,osm_url
node,12292562356,Eastleigh Drive Milford Haven Substation,eastleigh drive milford haven substation,51.7141385,-5.0280079,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562356
node,12292562380,Town Hall Milford Haven Substation,town hall milford haven substation,51.7110421,-5.0301274,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562380
node,12292562381,Vicary St Substation,vicary st substation,51.7106798,-5.0237672,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562381
node,12292562396,Pill Milford Haven Substation,pill milford haven substation,51.7118579,-5.0234859,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562396
node,12292562408,Coombes Estate Milford Haven Substation,coombes estate milford haven substation,51.71455,-5.0251371,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562408
node,12292562410,St Lawrence Hill Milford Haven Substation,st lawrence hill milford haven substation,51.7152001,-5.0463416,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562410
node,12292562421,Victoria Bridge Milford Haven Substation,victoria bridge milford haven substation,51.7146982,-5.0428218,11000;400,minor_distribution,National Grid Electricity Distribution,,,https://www.openstreetmap.org/node/12292562421
node,12292562427,Havens Head Substation,havens head substation,51.7155792,-5.0434097,11000;400,minor_distribution,National Grid Electricity Distribution,,,https://www.openstreetmap.org/node/12292562427
node,12292562428,Milford Haven S.T.W Substation,milford haven s t w substation,51.7174078,-5.0419409,11000;400,minor_distribution,National Grid Electricity Distribution,,,https://www.openstreetmap.org/node/12292562428
node,12292562429,Goose Pill Milford Haven Substation,goose pill milford haven substation,51.7160266,-5.0429754,11000;400,minor_distribution,National Grid Electricity Distribution,,,https://www.openstreetmap.org/node/12292562429
node,12292562430,Tesco Milford Haven Substation,tesco milford haven substation,51.716225,-5.0425161,11000;400,minor_distribution,National Grid Electricity Distribution,,,https://www.openstreetmap.org/node/12292562430
node,12292562447,Imogen Place Substation,imogen place substation,51.7153185,-5.032522,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562447
node,12292562457,Edward Street Milford Haven Substation,edward street milford haven substation,51.7147393,-5.0348129,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562457
node,12292562464,Magistrates Court Milford Substation,magistrates court milford substation,51.7151812,-5.0377503,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562464
node,12292562497,St Peters Road Switching Site Milford Haven Substation,st peters road switching site milford haven substation,51.7155961,-5.040428,11000;400,minor_distribution,National Grid Electricity Distribution,,,https://www.openstreetmap.org/node/12292562497
node,12292562519,Gas Works Milford Haven Substation,gas works milford haven substation,51.7175754,-5.0381858,11000;400,minor_distribution,National Grid Electricity Distribution,,,https://www.openstreetmap.org/node/12292562519
node,12292562526,Meads School Substation,meads school substation,51.7178666,-5.0332854,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562526
node,12292562553,Westhill Substation,westhill substation,51.7223118,-5.0279038,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562553
node,12292562554,Grove Estate Steynton Substation,grove estate steynton substation,51.7251947,-5.0190739,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562554
node,12292562570,Horse And Jockey Steynton Substation,horse and jockey steynton substation,51.7296226,-5.0174621,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562570
node,12292562587,Myrtle Hill Housing Substation,myrtle hill housing substation,51.7231111,-5.0179082,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562587
node,12292562607,Bunkers Hill Milford Haven Substation,bunkers hill milford haven substation,51.7230457,-5.0208195,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562607
node,12292562615,Milford Comprehensive School Substation,milford comprehensive school substation,51.7238106,-5.022189,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562615
node,12292562634,Mount Pleasant Housing Site Milford Have Substation,mount pleasant housing site milford have substation,51.720452,-5.0232975,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562634
node,12292562649,Larch Rd Substation,larch rd substation,51.719191,-5.0214838,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562649
node,12292562655,Cherry Tree Close Substation,cherry tree close substation,51.7177855,-5.023387,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562655
node,12292562659,Imperial Corner Milford Haven Substation,imperial corner milford haven substation,51.7164756,-5.0270234,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562659
node,12292562682,Milford Primary School Substation,milford primary school substation,51.7171691,-5.0209532,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562682
node,12292562706,Marble Hall Substation,marble hall substation,51.7189197,-5.0280436,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562706
node,12292562716,Murex Substation,murex substation,51.7215575,-5.0299237,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562716
node,12292562717,Cromwell Corner Milford Haven Substation,cromwell corner milford haven substation,51.7204514,-5.0325924,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562717
node,12292562773,Priory Milford Haven Substation,priory milford haven substation,51.723511,-5.0359808,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562773
node,12292562781,Howarth Close Milford Haven Substation,howarth close milford haven substation,51.7222168,-5.0331321,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562781
node,12292562796,Thornton Ind Park Substation,thornton ind park substation,51.7239632,-5.0310255,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562796
node,12292562812,Skomer Drive Substation,skomer drive substation,51.7253484,-5.0283827,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562812
node,12292562813,Elf View Thornton Substation,elf view thornton substation,51.7256926,-5.0327846,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562813
node,12292562848,Croydon Asbestos Substation,croydon asbestos substation,51.7266663,-5.0312243,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562848
node,12292562849,Solartron Substation,solartron substation,51.7268957,-5.0285439,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562849
node,12292562850,Consort Thornton Substation,consort thornton substation,51.7270052,-5.0277782,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562850
node,12292562873,Thornton Road Housing Substation,thornton road housing substation,51.7267368,-5.023431,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562873
node,12292563048,The Hookses Substation,the hookses substation,51.7114849,-5.1946292,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563048
node,12292563091,St Brides Castle Substation,st brides castle substation,51.7511128,-5.1950461,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563091
node,12292563223,Blockett Farm Substation,blockett farm substation,51.7721058,-5.1057216,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563223
node,12292563236,Little Haven Pump.Sta Substation,little haven pump sta substation,51.7732217,-5.1071361,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563236
node,12292563344,Broad Haven Hotel Substation,broad haven hotel substation,51.7813805,-5.1011893,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563344
node,12292563355,Atlantic Living Substation,atlantic living substation,51.7815805,-5.1005747,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563355
node,12292563411,Sandack Cottages Substation,sandack cottages substation,51.7831169,-5.0983944,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563411
node,12292563432,Broad Haven Hill Substation,broad haven hill substation,51.7830307,-5.0946936,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292563432
node,12292572090,Holiday Centre Nolton Substation,holiday centre nolton substation,51.8287382,-5.102503,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292572090
node,12745510100,MCDONALDS,mcdonalds,52.5090458,-7.8742366,10000;400;230,minor_distribution,ESB Networks,127 4096,,https://www.openstreetmap.org/node/12745510100
node,14014628440,,,52.2833573,-6.3946058,,minor_distribution,,,,https://www.openstreetmap.org/node/14014628440
way,32904413,Beallough Windfarm Substation,beallough windfarm substation,52.2733444,-7.3410969,10000,generation,ESB Networks,,,https://www.openstreetmap.org/way/32904413
way,42737549,Waterford 110kV Substation,waterford 110kv substation,52.2633036,-7.1249367,110000;38000;10000,transmission,EirGrid,,,https://www.openstreetmap.org/way/42737549
way,72615182,Portlaw 38 kV Substation,portlaw 38 kv substation,52.2958412,-7.3145251,38000;10000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/72615182
way,96278380,Great Island 220kV Substation,great island 220kv substation,52.2815845,-6.99172,220000;110000;38000,generation,EirGrid,,,https://www.openstreetmap.org/way/96278380
way,116914919,Brawdy Primary Substation,brawdy primary substation,51.8873491,-5.0965885,33000;11000,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/way/116914919
