name,psse_name,station,v_nom,search_name,candidate_rank,text_score,combined_score,voltage_match,review_status,osm_name,osm_lon,osm_lat,osm_voltage,osm_substation,osm_operator,osm_ref,osm_type,osm_id,osm_url,x,y,geocode_method,reason,search_name_normalised,osm_location
2551,FRN ST B,FRN ST B,110.0,FRN ST B,1,85.5,85.5,False,good name match - check voltage,Strumble Head Lighthouse St.Nicholas Substation,-5.0713643,52.0292912,11000;400,distribution,National Grid Electricity Distribution Plc,,node,12181819064,https://www.openstreetmap.org/node/12181819064,0.0,0.0,,"coordinates are (0, 0)",frn st b,
2551,FRN ST B,FRN ST B,110.0,FRN ST B,2,85.5,85.5,False,good name match - check voltage,St Brides View Roch Substation,-5.08739,51.8470877,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12244409195,https://www.openstreetmap.org/node/12244409195,0.0,0.0,,"coordinates are (0, 0)",frn st b,
2551,FRN ST B,FRN ST B,110.0,FRN ST B,3,85.5,85.5,False,good name match - check voltage,Pen Y Garn Housing St Davids Substation,-5.2642679,51.8796545,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12245035226,https://www.openstreetmap.org/node/12245035226,0.0,0.0,,"coordinates are (0, 0)",frn st b,
2551,FRN ST B,FRN ST B,110.0,FRN ST B,4,85.5,85.5,False,good name match - check voltage,Goat St Substation,-5.2694207,51.8807859,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12245035257,https://www.openstreetmap.org/node/12245035257,0.0,0.0,,"coordinates are (0, 0)",frn st b,
2551,FRN ST B,FRN ST B,110.0,FRN ST B,5,85.5,85.5,False,good name match - check voltage,The Cross St Davids Substation,-5.2645733,51.8812038,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12245035304,https://www.openstreetmap.org/node/12245035304,0.0,0.0,,"coordinates are (0, 0)",frn st b,
2601,FIRLOUGH,FIRLOUGH,110.0,FIRLOUGH,1,73.3,73.3,False,possible candidate - manual review,Turlough Road 38 kV Substation,-9.2835142,53.8690938,38000;10000,distribution,ESB Networks,,way,445519148,https://www.openstreetmap.org/way/445519148,0.0,0.0,,"coordinates are (0, 0)",firlough,
2601,FIRLOUGH,FIRLOUGH,110.0,FIRLOUGH,2,73.3,73.3,False,possible candidate - manual review,Turlough Hill,-6.4061441,53.0439505,220000,transition,EirGrid,,way,266025855,https://www.openstreetmap.org/way/266025855,0.0,0.0,,"coordinates are (0, 0)",firlough,
2601,FIRLOUGH,FIRLOUGH,110.0,FIRLOUGH,3,73.3,73.3,False,possible candidate - manual review,Turlough Hill Substation,-6.3965026,53.0329918,220000,generation,EirGrid,,way,288283900,https://www.openstreetmap.org/way/288283900,0.0,0.0,,"coordinates are (0, 0)",firlough,
2601,FIRLOUGH,FIRLOUGH,110.0,FIRLOUGH,4,69.2,69.2,False,possible candidate - manual review,Lough Beg 38 kV Substation,-8.3056508,51.8301736,38000,industrial,ESB Networks,,way,515103979,https://www.openstreetmap.org/way/515103979,0.0,0.0,,"coordinates are (0, 0)",firlough,
2601,FIRLOUGH,FIRLOUGH,110.0,FIRLOUGH,5,69.2,69.2,False,possible candidate - manual review,Loughmore 38 kV Station,-8.6634569,52.622075,38000,industrial,ESB Networks,,way,1497669531,https://www.openstreetmap.org/way/1497669531,0.0,0.0,,"coordinates are (0, 0)",firlough,
2641,GRAHOMICK,GRAHOMICK,110.0,GRAHOMICK,1,55.4,55.4,False,possible candidate - manual review,Graiguenamanagh 38 kV Substation,-6.9679392,52.5392824,38000,distribution,ESB Networks,,way,463310387,https://www.openstreetmap.org/way/463310387,0.0,0.0,,"coordinates are (0, 0)",grahomick,
2641,GRAHOMICK,GRAHOMICK,110.0,GRAHOMICK,2,55.4,55.4,False,possible candidate - manual review,Graigue 38kV Substation,-6.9438472,52.8369564,38000;10000,distribution,ESB Networks,,way,744425059,https://www.openstreetmap.org/way/744425059,0.0,0.0,,"coordinates are (0, 0)",grahomick,
2641,GRAHOMICK,GRAHOMICK,110.0,GRAHOMICK,3,52.6,62.6,True,weak match,Tullabrack 110kV Substation,-9.4791123,52.6730693,110000;38000,transmission,EirGrid,,way,218901878,https://www.openstreetmap.org/way/218901878,0.0,0.0,,"coordinates are (0, 0)",grahomick,
