name,psse_name,station,v_nom,x,y,geocode_method,reason,osm_found,osm_lon,osm_lat,osm_display_name,osm_type,osm_category,osm_id,osm_url,review_status
4471,POOLBEG,POOLBEG,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.1899319,53.3383905,"Poolbeg 220kV AIS Substation, Pigeon House Road, Pembroke East A Ward 1986, Dublin, County Dublin, Leinster, Éire / Ireland",service,building,50257117.0,https://www.openstreetmap.org/way/50257117,candidate
4472,POOLBEG SOUT,POOLBEG SOUT,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
44731,CODLING 1,CODLING 1,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
44732,CODLING 2,CODLING 2,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
44733,CODLING 3,CODLING 3,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
4481,PORTLAOISE,PORTLAOISE,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.3000591,53.0340093,"Portlaoise, The Municipal District of Portlaoise, County Laois, Leinster, Éire / Ireland",town,place,14579138.0,https://www.openstreetmap.org/relation/14579138,candidate
4662,RATHCOBICAN,RATHCOBICAN,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.1886053,53.3386207,"Rathcobican, Ballymacwilliam ED, The Municipal District of Edenderry, County Offaly, Leinster, R35 KD66, Éire / Ireland",administrative,boundary,4196320.0,https://www.openstreetmap.org/relation/4196320,candidate
4664,RATHCOBICAN,RATHCOBICAN,380.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.1886053,53.3386207,"Rathcobican, Ballymacwilliam ED, The Municipal District of Edenderry, County Offaly, Leinster, R35 KD66, Éire / Ireland",administrative,boundary,4196320.0,https://www.openstreetmap.org/relation/4196320,candidate
4671,RAPPAREEHILL,RAPPAREEHILL,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.9208831,53.6776952,"Rappareehill, Mountdavis ED, Ballymahon Municipal District, County Longford, Leinster, Éire / Ireland",administrative,boundary,2447192.0,https://www.openstreetmap.org/relation/2447192,candidate
4922,SOUTHBANK,SOUTHBANK,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.2750665,53.3294129,"Southbank Cafe, 79-80, Grove Road, Harold's Cross, Portobello, Rathmines West A Ward 1986, Dublin, County Dublin, Leinster, D06 HP29, Éire / Ireland",cafe,amenity,4230180642.0,https://www.openstreetmap.org/node/4230180642,candidate
4971,SHANONAGH,SHANONAGH,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.4418994,53.526802,"Shanonagh, Greenpark ED, The Municipal District of Athlone — Moate, County Westmeath, Leinster, Éire / Ireland",administrative,boundary,4139866.0,https://www.openstreetmap.org/relation/4139866,candidate
50019,SOMRST T,SOMRST,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
5051,SEAL ROCK,SEAL ROCK,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-9.5220686,52.822525,"Seal Rock, West Clare Municipal District, County Clare, Munster, Éire / Ireland",islet,place,4563525.0,https://www.openstreetmap.org/way/4563525,candidate
50619,STRATF T,STRATF,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
5071,SEAL ROCK,SEAL ROCK,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-9.5220686,52.822525,"Seal Rock, West Clare Municipal District, County Clare, Munster, Éire / Ireland",islet,place,4563525.0,https://www.openstreetmap.org/way/4563525,candidate
51911,CROAGHONAGH,CROAGHONAGH,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.9418187,54.7166086,"Croaghonagh, Donegal Municipal District, County Donegal, Ulster, Éire / Ireland",peak,natural,9199393511.0,https://www.openstreetmap.org/node/9199393511,candidate
52219,TULBRK T,TULBRK,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
5251,TAWN_B,TAWN_B,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-0.139949,51.5237826,"Royal Anthropological Institute of Great Britain and Ireland, 50, Fitzroy Street, Fitzrovia, London Borough of Camden, Greater London, England, W1T 6DY, United Kingdom",ngo,office,420120033.0,https://www.openstreetmap.org/way/420120033,outside Ireland bounds
5331,YELLOWMEADOW,YELLOWMEADOW,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
5351,TIMONEY,TIMONEY,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.7303526,52.9109325,"Timoney, The Municipal District of Thurles, County Tipperary, Munster, Éire / Ireland",administrative,boundary,6778883.0,https://www.openstreetmap.org/relation/6778883,candidate
66096,UPPERCHURCH,UPPERCHURCH,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.0364985,52.7014585,"Upperchurch, The Municipal District of Thurles, County Tipperary, Munster, Éire / Ireland",administrative,boundary,6781139.0,https://www.openstreetmap.org/relation/6781139,candidate
