run,demand_mw,renewable_potential_mw,pre_network_dispatch_down_mw,network_group_dispatch_down_mw,security_backstop_dispatch_down_mw,security_thermal_redispatch_mw,total_network_dispatch_down_mw,total_dispatch_down_mw,renewable_accepted_mw,first_group,activation_sequence,represented_security_pass,all_line_n1_pass,worst_base_loading_pct,worst_n1_loading_pct,worst_n1_monitored_line,worst_n1_outage,planned_outage,estimated_line_losses_mw,calibration_residual_mw,calibrated_total_dispatch_down_mw,calibrated_renewable_accepted_mw,physical_dispatch_down_pct_of_case,calibrated_dispatch_down_pct_of_case
70,1467.3513330288342,339.0978986535512,0.0,0.0,0.0,0.0,0.0,0.0,339.0978986535512,,None,True,False,82.60725839257064,162.6785567956193,74011-74511-1,70510-78511-1,Intact,15.249174226238265,50.26209353479505,50.26209353479505,288.8358051187562,0.0,14.82229578371605
71,1203.7850210223955,262.0716451843749,0.0,0.0,0.0,0.0,0.0,0.0,262.0716451843749,,None,True,False,100.65126490610639,117.17384959133865,74011-74511-1,70510-78511-1,Intact,11.041712396413695,45.86687833514763,45.86687833514763,216.20476684922727,0.0,17.50165619896764
72,1346.6649503729893,683.8585633920768,0.0,0.0,0.0,0.0,0.0,0.0,683.8585633920768,,None,True,False,106.78052025769635,106.78052025769635,86512-90012-2,70510-72010-1,Intact,25.698742594427024,160.39519395014233,160.39519395014233,523.4633694419344,0.0,23.454439636545562
73,1430.9439407496134,224.9547778596874,0.0,0.0,0.0,0.0,0.0,0.0,224.9547778596874,,None,True,False,113.38400647692887,113.38400647693597,76513-80012-1,75510-75511-1,Intact,13.573537445323003,31.77240674284656,31.77240674284656,193.18237111684084,0.0,14.123908389562716
74,1072.398110997625,735.1541196244211,51.22759434964348,8.96137565535383,0.0,0.0,8.96137565535383,60.188970004997316,674.9651496194238,3.0,G3,True,True,74.57175322105907,99.99999544654946,76810-87510-1,76810-87510-2,Intact,21.656321302499368,243.08504019288512,303.27401019788243,431.8801094265387,8.187258752728875,41.253119869996844
75,1267.015115892296,453.3733134228176,0.0,0.0,0.0,0.0,0.0,0.0,453.3733134228176,,None,True,False,133.1149399982196,133.11493999822292,73012-76512-2,70520-86220-1,Intact,14.80788448874063,98.81471549829917,98.81471549829917,354.55859792451844,0.0,21.7954415429265
76,1089.3246959618295,813.6150435950703,0.0,61.04384317180745,0.0,0.0,61.04384317180745,61.04384317180745,752.5712004232629,1.0,G1 → G3,True,True,87.15185266116303,99.99998446399042,76810-87510-1,76810-87510-2,Intact,27.33116570239115,270.79906194770814,331.8429051195156,481.77213847555475,7.50279184884252,40.78623026108538
77,1060.709828326959,775.7867435164549,135.8866442478145,0.0,0.0,0.0,0.0,135.8866442478145,639.9000992686404,,None,True,True,89.45527258336374,89.45527258336647,72512-74512-2,90011-90012-1,Intact,19.431548337635164,271.0833597485223,406.9700039963368,368.81673952011806,17.515979150645578,52.45900466816945
78,1273.7192418329932,353.4034613007931,0.0,0.0,0.0,0.0,0.0,0.0,353.4034613007931,,None,True,False,71.42265047798716,104.89294933351397,74011-74511-1,70510-78511-1,Intact,11.757328044355257,61.48830754881411,61.48830754881411,291.91515375197895,0.0,17.398897940187243
79,1431.7153729573527,792.019162226225,0.0,15.781447493222382,0.0,0.0,15.781447493222382,15.781447493222382,776.2377147330026,3.0,G3,True,True,86.18736381255991,99.9999920193811,76810-87510-1,76810-87510-2,Intact,24.509432453150236,201.58448248960275,217.36592998282512,574.6532322433999,1.9925587972977243,27.444529166674215
80,1391.2618222477536,479.1044008533705,0.0,0.0,0.0,0.0,0.0,0.0,479.1044008533705,,None,True,False,117.3491577575747,117.3491577575747,74511-82511-1,75010-83510-1,75010-83510-1,18.712512987314142,143.85768458148723,143.85768458148723,335.2467162718833,0.0,30.026375112658325
81,1054.154115944983,469.5378414250773,0.0,0.0,0.0,0.0,0.0,0.0,469.5378414250773,,None,True,True,75.0194015852269,93.2632955585005,81010-84011-1,84011-90011-1,Intact,13.593617595139866,110.77326686174383,110.77326686174383,358.7645745633335,0.0,23.591978556092496
