eval_index,temperature,current_dd,best_dd,candidate_dd,delta_dd,accepted,best_update,swap_i,swap_j
1166,0.03054962036860648,8.242389233888622,8.165985780556488,8.242389233888622,0.00575325078778377,True,False,182,57
1167,0.030521879561800577,8.242389233888622,8.165985780556488,8.242389233888622,0.0,True,False,197,7
1168,0.03049416394523772,8.238653316288048,8.165985780556488,8.238653316288048,-0.0037359176005740125,True,False,65,46
1169,0.030466473496043728,8.238653316288048,8.165985780556488,8.238653316288048,0.0,True,False,218,90
1170,0.030438808191365185,8.238653316288048,8.165985780556488,inf,inf,False,False,235,81
1171,0.03041116800836944,8.231672253261939,8.165985780556488,8.231672253261939,-0.006981063026108458,True,False,82,78
1172,0.03038355292424456,8.231672253261939,8.165985780556488,8.231672253261939,0.0,True,False,78,21
1173,0.030355962916199325,8.231672253261939,8.165985780556488,8.231672253261939,0.0,True,False,54,48
1174,0.030328397961463232,8.231672253261939,8.165985780556488,8.231672253261939,0.0,True,False,143,237
1175,0.030300858037286417,8.231672253261939,8.165985780556488,inf,inf,False,False,10,121
1176,0.03027334312093972,8.231672253261939,8.165985780556488,inf,inf,False,False,191,127
1177,0.03024585318971458,8.231672253261939,8.165985780556488,8.231672253261939,0.0,True,False,223,75
1178,0.030218388220923084,8.23126763170516,8.165985780556488,8.23126763170516,-0.0004046215567790057,True,False,16,183
1179,0.03019094819189791,8.23126763170516,8.165985780556488,8.23126763170516,0.0,True,False,176,202
1180,0.030163533079992318,8.23126763170516,8.165985780556488,8.23126763170516,0.0,True,False,40,104
1181,0.030136142862580137,8.23126763170516,8.165985780556488,8.23126763170516,0.0,True,False,171,193
1182,0.030108777517055735,8.230955040640659,8.165985780556488,8.230955040640659,-0.0003125910645014329,True,False,16,223
1183,0.030081437020834014,8.230955040640659,8.165985780556488,8.230955040640659,0.0,True,False,118,22
1184,0.03005412135135039,8.230955040640659,8.165985780556488,8.230955040640659,0.0,True,False,106,184
1185,0.030026830486060748,8.253871085835502,8.165985780556488,8.253871085835502,0.022916045194843804,True,False,66,157
1186,0.029999564402441472,8.253871085835502,8.165985780556488,8.253871085835502,0.0,True,False,160,184
1187,0.029972323077989374,8.253871085835502,8.165985780556488,8.253871085835502,0.0,True,False,192,144
1188,0.029945106490221716,8.253871085835502,8.165985780556488,8.253871085835502,0.0,True,False,83,23
1189,0.02991791461667617,8.253871085835502,8.165985780556488,8.253871085835502,0.0,True,False,234,99
1190,0.029890747434910794,8.231684058792972,8.165985780556488,8.231684058792972,-0.022187027042530616,True,False,158,107
1191,0.029863604922504054,8.231580120471564,8.165985780556488,8.231580120471564,-0.00010393832140742632,True,False,111,63
